submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
06/22/2020,TX,114881,,,3280,0,2659,,,44,0,06/24/2020 12:00:00 AM,Not agree,Not agree
04/01/2020,TX,3996,,,730,0,122,,,21,0,04/03/2020 12:00:00 AM,Not agree,Not agree
02/15/2022,TX,6475736,,,10953,2953,81258,,,228,0,02/16/2022 03:00:19 PM,Not agree,Not agree
01/25/2022,TX,6018220,,,45056,9484,77058,,,154,0,01/26/2022 03:12:02 PM,Not agree,Not agree
07/20/2020,TX,332434,,,7404,0,7171,,,252,0,07/22/2020 12:00:00 AM,Not agree,Not agree
08/24/2020,TX,580384,,,2847,0,14057,,,119,0,08/26/2020 12:00:00 AM,Not agree,Not agree
02/03/2020,TX,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree
05/20/2020,TX,51323,,,1411,0,1630,,,21,0,05/22/2020 12:00:00 AM,Not agree,Not agree
02/01/2020,TX,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree
03/25/2021,TX,2759866,,,3234,897,48453,,,50,0,03/27/2021 12:00:00 AM,Not agree,Not agree
05/31/2020,TX,64287,,,1949,0,1919,,,14,0,06/02/2020 12:00:00 AM,Not agree,Not agree
05/24/2021,TX,2932769,,,687,144,50743,,,33,0,05/26/2021 12:00:00 AM,Not agree,Not agree
12/01/2020,TX,1296972,,,18540,2401,24455,,,200,0,12/03/2020 12:00:00 AM,Not agree,Not agree
09/12/2021,TX,3804969,,,4362,410,58855,,,166,0,09/13/2021 02:26:59 PM,Not agree,Not agree
12/04/2020,TX,1350542,,,16796,3097,25057,,,227,0,12/06/2020 12:00:00 AM,Not agree,Not agree
12/24/2021,TX,4471130,,,13771,2591,74092,,,0,0,12/25/2021 02:11:33 PM,Not agree,Not agree
06/06/2022,TX,6897838,,,5634,1285,86849,,,0,0,06/07/2022 01:16:16 PM,Not agree,Not agree
11/21/2021,TX,4290380,,,517,13,72198,,,29,0,11/22/2021 03:21:21 PM,Not agree,Not agree
12/22/2021,TX,4444883,,,10121,1325,74003,,,85,0,12/23/2021 02:39:18 PM,Not agree,Not agree
10/21/2020,TX,838809,,,5252,0,18386,,,92,0,10/23/2020 12:00:00 AM,Not agree,Not agree
04/12/2020,TX,13484,,,923,0,420,,,34,0,04/14/2020 12:00:00 AM,Not agree,Not agree
05/19/2020,TX,49912,,,1219,0,1609,,,28,0,05/21/2020 12:00:00 AM,Not agree,Not agree
04/18/2021,TX,2841564,,,1904,397,49487,,,52,0,04/20/2021 12:00:00 AM,Not agree,Not agree
08/08/2020,TX,481483,,,6959,0,11583,,,179,0,08/10/2020 12:00:00 AM,Not agree,Not agree
11/01/2021,TX,4223527,,,1211,404,70000,,,19,0,11/02/2021 01:48:33 PM,Not agree,Not agree
05/04/2021,TX,2893714,,,4153,814,50093,,,46,0,05/06/2021 12:00:00 AM,Not agree,Not agree
04/17/2021,TX,2839660,,,2682,868,49435,,,39,0,04/19/2021 12:00:00 AM,Not agree,Not agree
01/11/2021,TX,1969240,,,14834,1346,34814,,,329,0,01/13/2021 12:00:00 AM,Not agree,Not agree
10/03/2020,TX,763010,,,7006,0,17096,,,62,0,10/05/2020 12:00:00 AM,Not agree,Not agree
10/07/2021,TX,4104149,,,8095,2160,65690,,,257,0,10/08/2021 01:43:16 PM,Not agree,Not agree
07/04/2021,TX,2994471,,,419,13,51498,,,5,0,07/06/2021 12:00:00 AM,Not agree,Not agree
05/25/2020,TX,55971,,,623,0,1763,,,31,0,05/27/2020 12:00:00 AM,Not agree,Not agree
08/06/2020,TX,467485,,,7598,0,11195,,,230,0,08/08/2020 12:00:00 AM,Not agree,Not agree
03/24/2021,TX,2756632,,,4344,1059,48403,,,54,0,03/26/2021 12:00:00 AM,Not agree,Not agree
10/05/2021,TX,4081849,,,10012,2546,65062,,,277,0,10/06/2021 02:06:06 PM,Not agree,Not agree
10/07/2020,TX,777556,,,4121,0,17350,,,56,0,10/09/2020 12:00:00 AM,Not agree,Not agree
12/16/2021,TX,4391567,,,5735,1416,73658,,,90,0,12/17/2021 02:18:55 PM,Not agree,Not agree
09/23/2021,TX,3970552,,,11044,2972,62033,,,463,0,09/24/2021 01:56:18 PM,Not agree,Not agree
08/29/2020,TX,606530,,,4762,0,14596,,,88,0,08/31/2020 12:00:00 AM,Not agree,Not agree
03/11/2020,TX,18,,,3,0,0,,,0,0,03/13/2020 12:00:00 AM,Not agree,Not agree
09/23/2020,TX,719599,,,3392,0,16502,,,63,0,09/25/2020 12:00:00 AM,Not agree,Not agree
03/21/2022,TX,6621379,,,804,161,85513,,,34,0,03/22/2022 01:39:13 PM,Not agree,Not agree
02/12/2022,TX,6449575,,,12802,3172,80760,,,194,0,02/14/2022 02:00:44 PM,Not agree,Not agree
07/22/2020,TX,351618,,,9879,0,7700,,,272,0,07/24/2020 12:00:00 AM,Not agree,Not agree
05/21/2020,TX,52268,,,945,0,1654,,,24,0,05/23/2020 12:00:00 AM,Not agree,Not agree
02/20/2022,TX,6512240,,,1884,125,82416,,,84,0,02/21/2022 08:43:30 PM,Not agree,Not agree
01/29/2021,TX,2330028,,,19076,3850,40654,,,275,0,01/31/2021 12:00:00 AM,Not agree,Not agree
03/28/2020,TX,2048,,,317,0,58,,,12,0,03/30/2020 12:00:00 AM,Not agree,Not agree
09/14/2020,TX,663404,,,3970,0,15899,,,65,0,09/16/2020 12:00:00 AM,Not agree,Not agree
03/15/2021,TX,2721126,,,2743,843,47807,,,83,0,03/17/2021 12:00:00 AM,Not agree,Not agree
03/19/2021,TX,2739385,,,3574,896,48101,,,62,0,03/21/2021 12:00:00 AM,Not agree,Not agree
06/20/2020,TX,107735,,,4430,0,2577,,,45,0,06/22/2020 12:00:00 AM,Not agree,Not agree
03/29/2020,TX,2552,,,504,0,69,,,11,0,03/31/2020 12:00:00 AM,Not agree,Not agree
04/25/2021,TX,2864345,,,1407,217,49759,,,37,0,04/27/2021 12:00:00 AM,Not agree,Not agree
06/02/2020,TX,66568,,,1688,0,1967,,,28,0,06/04/2020 12:00:00 AM,Not agree,Not agree
01/06/2022,TX,4892604,,,44967,9514,75014,,,126,0,01/07/2022 03:48:33 PM,Not agree,Not agree
01/25/2020,TX,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree
12/26/2021,TX,4499025,,,12559,2090,74092,,,0,0,12/27/2021 04:13:05 PM,Not agree,Not agree
03/28/2022,TX,6655436,,,459,61,85868,,,9,0,03/29/2022 01:30:11 PM,Not agree,Not agree
03/22/2020,TX,263,,,28,0,12,,,1,0,03/24/2020 12:00:00 AM,Not agree,Not agree
01/23/2022,TX,5934240,,,58118,8921,76875,,,77,0,01/24/2022 03:59:16 PM,Not agree,Not agree
08/22/2020,TX,573139,,,5559,0,13830,,,105,0,08/24/2020 12:00:00 AM,Not agree,Not agree
06/26/2021,TX,2984022,,,1845,554,51409,,,14,0,06/28/2021 12:00:00 AM,Not agree,Not agree
05/27/2020,TX,57921,,,1361,0,1806,,,23,0,05/29/2020 12:00:00 AM,Not agree,Not agree
10/16/2020,TX,815678,,,5870,0,17971,,,73,0,10/18/2020 12:00:00 AM,Not agree,Not agree
12/04/2021,TX,4337687,,,8146,2323,72956,,,74,0,12/06/2021 01:50:49 PM,Not agree,Not agree
02/19/2020,TX,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree
11/26/2021,TX,4305679,,,635,46,72381,,,0,0,11/27/2021 02:19:28 PM,Not agree,Not agree
02/06/2022,TX,6369286,,,18058,3303,79412,,,43,0,02/07/2022 03:36:42 PM,Not agree,Not agree
01/26/2022,TX,6048954,,,30734,5466,77321,,,263,0,01/27/2022 02:52:03 PM,Not agree,Not agree
11/01/2020,TX,972330,,,4259,0,19588,,,117,0,11/03/2020 12:00:00 AM,Not agree,Not agree
10/17/2021,TX,4162747,,,630,48,67812,,,88,0,10/18/2021 01:49:53 PM,Not agree,Not agree
02/06/2021,TX,2476783,,,13897,2572,42676,,,221,0,02/08/2021 12:00:00 AM,Not agree,Not agree
03/08/2021,TX,2689413,,,2595,724,47237,,,102,0,03/10/2021 12:00:00 AM,Not agree,Not agree
04/21/2022,TX,6717715,,,2842,1063,86445,,,31,0,04/22/2022 02:15:21 PM,Not agree,Not agree
02/03/2022,TX,6308728,,,28145,5451,78981,,,323,0,02/04/2022 03:29:18 PM,Not agree,Not agree
